Section,Category,Title,Link
How To's,Photo,Fixing Photography,https://medium.com/@Zimberoff/disrupting-stock-photography-fffe1c7d5b99
How To's,Photo,Optimize Google My Business: How to Use Identity Photos,https://blog.reachlocal.com/how-to-optimize-your-google-my-business-information-using-identity-photos
How To's,Photo,The Importance of Good Photography to Market Your Business - Posse Social Media,https://possesocialmedia.com/the-importance-of-good-photography-to-market-your-business/
How To's,Photo,In Their Own Words: Why Top Photographers Use Photoshop,https://www.creativelive.com/blog/why-photographers-use-photoshop/
How To's,Website,Six Important Reasons To Redesign Your Website,https://www.forbes.com/sites/forbescommunicationscouncil/2017/06/13/six-important-reasons-to-redesign-your-website/#3c7062c47853
How To's,Website,How to Create A Starter Website For Your Business | Small Business BC,https://smallbusinessbc.ca/article/create-starter-website-business/
How To's,Website,Why Local Businesses Will Need Websites More than Ever in 2019,https://moz.com/blog/local-businesses-need-websites
How To's,Logo,"Logo Design Tips, Logo News and How To Blogs | Logo Maker",https://www.logomaker.com/blog/
How To's,Logo,How to Brainstorm the Perfect Logo for Your Business,https://visme.co/blog/logo-ideas/
How To's,Logo,What's the purpose of logos and why do they matter?,https://logogeek.uk/logo-design/why-logos-matter/
How To's,Logo,5 Online Logo Makers & Generators to Design Your Brand,https://www.shopify.com/blog/online-logo-makers
How To's,Graphic Design,How to Make an Infographic: A Visual Guide for Beginners [Free E-Book],https://visme.co/blog/how-to-make-an-infographic/
How To's,Graphic Design,50 Beautiful Presentation Background Templates [Edit and Download],https://visme.co/blog/presentation-background/
How To's,Graphic Design,A Guide to Designing Cute Quote Graphics – Learn,https://www.canva.com/learn/guide-designing-cute-quote-graphics/
How To's,Graphic Design,A Non-Designer’s Guide to Creating Memorable Visual Presentations [Free E-Book],https://visme.co/blog/presentation-design/
How To's,Video,Ways to Create Engaging Video Content for Social Media,https://nealschaffer.com/6-powerful-ways-to-create-engaging-video-content-for-social-media/
How To's,Video,6 Psychology-Backed Hacks for Making Engaging Videos,https://blog.hubspot.com/marketing/psychology-hacks-for-making-engaging-videos
How To's,Video,7 Video Marketing Trends to Look Out for in 2019,https://animoto.com/blog/video-marketing/video-marketing-trends-2019/
How To's,Video,7 Ways to Create More Engaging Videos That Rank Higher in YouTube,https://www.entrepreneur.com/article/225791
How To's,Video,13 Video Trends We're Super Excited About for 2019,https://wistia.com/learn/marketing/video-trends-2019
How To's,Animation,Why Animated Video is the Best Strategy for Your Social Media,https://www.dreamgrow.com/animated-video/
How To's,Animation,Unleash The Power Of Path Animations With SVGator — Smashing Magazine,https://www.smashingmagazine.com/2019/06/unleash-power-path-animations-svgator/
How To's,Animation,A step-by-step guide to creating a marketing animation | Smart Insights,https://www.smartinsights.com/digital-marketing-platforms/video-marketing/animation-guide/
How To's,Animation,Brand Identity: How to Build One with an Animated Marketing Video,https://mention.com/blog/build-brand-identity-animated-marketing-video/
How To's,Animation,How Animation Can Become a Part of Your Digital Marketing Strategy,https://curatti.com/animation-digital-marketing-strategy/